,word,positive count,negative count,positive sentiment,negative sentiment
359,Problem,1,4,0.3089,-0.416125
360,Democratic,3,8,0.4588,-0.189675
361,representing,2,3,0.6309,-0.6486
362,Malia,1,6,0.4003,-0.14135
363,#Hollywood,2,2,0.4767,-0.5106
364,10,404,43,0.577971287129,-0.32943255814
365,kind,1,2,0.6597,0.0
366,12,400,2,0.5778,-0.3454
367,Of,1,17,0.4939,-0.320864705882
368,HARVEY,6,39,0.42345,-0.198497435897
369,Sex,5,5,0.47042,-0.16454
370,shower,1,2,0.6458,-0.3618
371,Latest,8,10,0.6892,-0.30931
372,r,1,2,0.4053,-0.1785
373,2020,1,3,0.4939,0.0
374,speaking,2,1,0.39055,0.0
375,Streep,1,5,0.3034,-0.3172
376,He's,2,11,0.3818,-0.401581818182
377,God,7,15,0.543942857143,-0.44608
378,pass,21,2,0.5267,-0.45845
379,#FoxNews,4,16,0.4019,-0.30299375
380,talking,1,8,0.1779,-0.1296375
381,say,34,10,0.404888235294,-0.38321
382,Call,1,1,0.4215,-0.2924
383,gala,1,1,0.5859,-0.4585
384,need,1,188,0.6908,-0.362621808511
385,seek,1,1,0.5267,-0.7184
386,Jemele,1,1,0.4215,-0.7351
387,Then,2,18,0.0772,0.0
388,DNC,2,4,0.1379,-0.0129
389,Oscars,2,9,0.33105,-0.311777777778
390,De,2,1,0.5521,0.0
391,Predator,35,3,0.389402857143,-0.514133333333
392,shocked,4,4,0.23,-0.03875
393,Beckinsale,3,2,0.296,-0.10115
394,Let's,1,10,0.91,-0.0872
395,also,79,71,0.431226582278,-0.226263380282
396,take,4,23,0.333425,-0.504839130435
397,They,6,63,0.464183333333,-0.408055555556
398,Dems,26,31,0.757542307692,-0.213177419355
399,With,4,21,0.297225,-0.310557142857
400,Sean,12,2,0.7184,0.0
401,¬,4,37,0.426325,-0.153562162162
402,Off,8,11,0.22005,-0.369772727273
403,Weinstein,1170,5832,0.488534700855,-0.331467438272
404,†,4,35,0.426325,-0.170091428571
405,.ly,1,40,0.4019,-0.0146475
406,knew,24,37,0.5004,-0.1724
407,enablers,1,1,0.0772,-0.5719
408,Ashley,2,9,0.5574,-0.476955555556
409,assault,1,45,0.4215,-0.592484444444
410,hired,1,1,0.25,0.0
411,Isn,1,1,0.3612,0.0
412,position,1,1,0.6908,-0.7845
413,nothing,2,16,0.58395,-0.26176875
414,The,39,276,0.469153846154,-0.469269927536
415,playlist,1,4,0.1593,0.0
416,Bernie,31,6,0.3802,-0.3902
417,‚,996,5409,0.493861044177,-0.20840386393
418,episode,10,1,0.62277,-0.2263
419,Nyong,19,827,0.360168421053,-0.12631789601
420,clear,2,1,0.4382,-0.0772
421,Allegations,24,81,0.433058333333,-0.390138271605
422,Voices,1,1,0.6597,-0.2023
423,Donald,6,52,0.39675,-0.413038461538
424,Strip,2,1,0.743,0.0
425,professional,4,1,0.4019,-0.7261
426,FLASHBACK,1,1,0.8934,0.0
